ABC,nAcid,nBase,VE1_A,VR1_A,nAromAtom,nBridgehead,nHetero,nS,nF,AATS5s,AATS6s,AATS0i,ATSC6c,ATSC2dv,ATSC3dv,ATSC5dv,ATSC6dv,ATSC2d,ATSC4d,ATSC6d,ATSC7d,ATSC8d,ATSC1s,ATSC3s,ATSC4s,ATSC7s,ATSC8s,ATSC3Z,ATSC4Z,ATSC5Z,ATSC6Z,ATSC8Z,ATSC1v,ATSC2v,ATSC3v,ATSC4v,ATSC7v,ATSC8v,ATSC1p,ATSC7p,ATSC8p,ATSC1i,ATSC2i,ATSC5i,ATSC6i,ATSC8i,AATSC0Z,BalabanJ,C3SP3,NdsCH,NaaN,NssO,SaasC,SsNH2,SaaNH,StN,SaasN,SsSH,SaaS,SsCl,MINsCH3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA13,SMR_VSA6,EState_VSA2,EState_VSA3,EState_VSA6,EState_VSA7,MDEC-22,MDEC-23,n5Ring,nG12Ring,n6HRing,n5aRing,nFARing,activity
22.28809358,0,0,4.018786075,676.5904631,0,0,10,1,0,4.029038896,2.981514142,167.1795644,-0.191928938,137.5650364,-52.95352064,-227.2150538,-93.17077119,8.25,-14.75,-16.25,-15.25,0.25,-20.19722165,-58.43336577,32.86264397,39.36738762,-57.77050583,-112.6545265,198.6316337,-530.8709677,-220.3485952,-249.7679501,-124.7588214,617.9964644,-605.7496021,883.174448,-264.6497124,-1077.963761,-2.247215578,-2.674146248,-1.001662794,-28.12379749,-2.271635398,32.81814655,-4.902786382,16.88361126,10.25598335,2.212390075,3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019307993,0.0,0.0,6.544756406,24.25735689,11.64289164,0.0,0.0,12.80052559,11.82508578,19.38639965,25.67112133,20.7712116,1.190550789,7.904974819,2,0,0,0,1,inactive
36.88561088,2,0,4.076177789,54320.44174,0,0,19,1,0,4.608649915,3.868386905,167.8357072,0.657269096,144.2724342,-128.4403821,-142.3807466,-82.11388623,4.16728664,-18.554044,-15.42055479,-14.14347965,-6.473376554,-28.05453934,-115.5231878,-62.61838257,19.53878923,42.1899743,-105.2293549,-29.45892231,-362.016261,-298.6331172,63.81273249,-23.24265204,-71.42192063,-314.945402,667.2892741,-17.98945026,-244.2598089,-1.475681766,-2.10643074,-1.053458491,-30.66454824,-37.27245306,9.502094575,3.68613374,-10.4767712,9.707514082,2.234730489,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.939728584,0.0,0.0,19.88931523,30.67817851,24.16736332,0.0,0.0,12.80052559,25.80722127,0.0,34.618686,0.0,2.114154813,17.02355348,2,0,0,0,1,inactive
29.76175511,1,0,4.231220375,2247.420882,16,0,12,0,2,5.37128553,5.554354354,166.6554889,0.545179962,67.74159055,47.4597906,-47.90755179,-13.12140789,-0.178436177,-2.39296057,-7.605257296,-2.662285587,-6.345734016,-14.46146754,1.685379075,-46.98270464,-63.81954036,-51.63293607,-1.032746714,145.0790822,-67.16128314,-64.85275117,-26.47538427,71.43078188,-271.8862288,-155.9058584,1004.366607,-640.8620965,353.5558935,0.235006317,-2.838182234,1.080440138,-3.167144482,2.574672246,-12.33243795,26.10684339,-10.15738914,8.032523947,1.669652627,1,0,1,0,1.185358455,0.0,0.0,0.0,0.970131928,0.0,0.0,0.0,1.743056384,5.098681808,0.0,17.37049733,11.08015221,18.62843806,0.0,11.34251184,0.0,12.33872767,22.02982792,62.37841095,11.38315567,13.40178132,27.05113267,0,0,1,0,0,inactive
28.27859186,1,0,4.065464213,1926.342998,15,0,11,0,2,5.042082502,5.486187845,166.979571,0.787156956,58.05325444,13.79289941,-9.50887574,7.360946746,0.429822485,-3.366390533,-3.739408284,-2.226982249,-11.85088757,-14.18969757,1.524766601,-39.94561473,-71.70683103,-39.25032873,-32.89940828,97.07100592,-33.04733728,5.053254438,-18.81065089,45.10912815,-328.0755843,-313.8905717,941.7018851,-707.1255506,254.8476781,-0.100284664,-1.838194975,0.85379348,-14.11197065,1.295675578,-10.76484751,32.84014882,3.740803034,8.007100592,1.672632006,1,0,1,0,1.329500738,0.0,0.0,0.0,1.706243039,0.0,0.0,0.0,1.794007648,0.0,0.0,11.98427311,11.03340144,24.45284256,0.0,5.783244946,0.0,18.88348407,16.85780593,18.41457405,54.59730362,13.78974133,25.71689363,1,0,0,1,0,inactive
22.17385055,1,0,4.688194828,230.0778437,6,0,11,0,2,5.723707417,6.695686633,169.2953576,0.745203807,44.22680186,36.94152394,-12.32605954,25.69371816,-5.957280171,-2.616233535,-2.180135279,-6.576361695,-12.03239587,-19.21632114,25.25373526,-54.94545099,-76.02267021,-81.65147663,11.07369171,72.86080456,-45.38554646,-6.625845497,-106.3015308,84.87388459,-272.0289051,-313.0890937,520.8176027,-183.9632491,-423.1021865,0.525803555,0.873112923,-2.061327842,-3.407019841,5.231749332,-27.34083535,23.7521098,-15.77159216,11.4503382,2.841098979,1,0,0,0,0.213950966,0.0,0.0,0.0,0.0,0.0,0.0,5.944960744,1.718224338,0.0,0.0,17.00690643,0.0,12.08368166,6.103966388,11.69042468,0.0,22.92481247,0.0,25.98020854,5.316788604,3.684763977,14.00505165,0,0,0,0,0,inactive
20.6906873,1,0,4.675779733,182.7224343,5,0,11,1,2,5.836569096,6.825726645,169.4663593,0.682912655,49.99111111,38.32,-10.04,28.45777778,-6.0368,-0.9056,-2.4928,-6.7328,-11.2576,-18.7590192,22.07600658,-62.33353374,-75.17560947,-79.08317641,-64.72,151.04,-63.76,15.92,-145.16,110.9011404,-264.3393654,-615.1733924,660.0929676,-289.2524065,-429.4248444,1.246244383,-0.962462451,-0.735113383,-1.925247471,8.786120521,-26.44343489,31.32886473,-16.31135428,11.32,2.786991131,1,0,0,0,0.345219399,0.0,0.0,0.0,0.0,0.0,1.128682723,0.0,1.737277836,0.0,11.33678588,11.29796882,0.0,12.08368166,6.103966388,11.69042468,0.0,12.33872767,4.877147194,25.29390424,5.316788604,2.278982635,10.96746033,1,0,0,1,0,inactive
22.21429066,1,0,4.822456525,204.0630479,6,0,11,0,2,5.681410316,6.696265813,169.2953576,0.738129198,40.44902408,33.04844218,-8.908169948,32.69068998,-7.957280171,0.081879672,-4.180135279,-5.878248487,-9.900320399,-19.32743225,25.93072881,-54.58590358,-72.5411499,-83.40785437,-68.92630829,44.78533286,-9.461018156,50.73264507,-150.3770025,84.87388459,-272.0289051,-566.2710156,488.1642923,-367.0513106,-371.7060964,0.525803555,-1.302878743,-1.034326014,-3.407019841,5.231749332,-23.99866726,23.31819341,-13.90435507,11.4503382,2.794584969,1,0,0,0,0.591506215,0.0,0.0,0.0,0.0,0.0,0.0,5.753431512,1.723314549,0.0,0.0,11.44345494,0.0,12.08368166,6.103966388,11.69042468,0.0,17.90217916,5.022633314,13.8474744,5.316788604,3.537861703,15.0106974,0,0,0,0,0,inactive
26.23815175,1,0,4.983577378,314.1318481,12,0,10,1,2,5.081042783,5.600638693,165.2655149,0.540731656,25.97704432,12.98163545,20.39699337,-10.48856415,-5.058453011,0.952632905,-5.40765936,-10.38397581,-16.34139582,-12.72326183,1.262130102,-21.72926826,-58.95732384,-29.26538743,32.90123457,81.04938272,-75.81481481,-60.2345679,-299.5802469,129.4713591,-447.069933,-342.4461235,888.3613035,-608.632649,-921.8741769,1.263134758,0.183749173,-6.066690056,1.10943317,14.45360712,-4.557652222,27.61553783,-23.69242958,10.17283951,2.126886119,1,0,0,0,1.518154166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.804439615,0.0,11.76188495,11.3163051,0.0,17.33361969,0.0,5.783244946,0.0,12.33872767,5.563451492,38.11294267,36.39820241,14.1815066,23.66748649,0,0,0,0,0,inactive
21.34417998,0,0,3.949188663,582.6161919,0,0,8,0,0,3.892147734,2.869156041,167.199119,-0.145179488,104.1472722,-26.386724,-229.5412524,-69.50819672,7.704649288,-13.6347756,-16.09836066,-17.01155603,1.119054018,-5.146312968,-38.58723947,12.35695676,23.26077593,-56.02227224,-143.8293469,202.8570277,-404.787154,-171.7540984,-288.8645525,-163.2510866,626.2924575,-640.7135909,844.8517288,-274.5321971,-1164.382035,-1.768600202,-3.269795705,-2.533969325,-25.3461524,-3.665497118,31.49854544,-3.391145646,13.16222768,7.692555765,2.174783744,3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.387363548,0.0,0.0,13.46849361,18.0015877,11.64289164,0.0,0.0,6.544756406,35.72312689,19.38639965,25.67112133,20.7712116,1.190550789,8.717157699,2,0,0,0,1,inactive
26.23815175,1,0,4.845994021,362.9448448,12,0,9,0,2,4.659760589,5.278359511,166.1696507,0.42987524,22.1704142,-7.724497041,45.17136095,17.7808284,-5.875739645,-3.353609467,-1.619171598,-2.745088757,-13.25088757,-12.80127548,2.431827745,-30.70395135,-66.98081525,-24.56370809,-78.83218935,106.3694675,65.63289941,4.026982249,-4.850887574,97.66421148,-567.9609405,-543.9510453,616.9592613,-366.7296221,-96.91819941,0.521876075,0.172424931,-1.394723611,-0.738164127,8.629307956,-22.75810257,21.31518585,-16.62270917,8.029822485,2.069269925,2,0,0,0,1.810673011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.807757648,0.0,0.0,18.75954929,0.0,12.08368166,0.0,5.783244946,0.0,24.67745534,0.0,0.0,74.51114508,17.87331497,26.30415124,0,0,0,0,0,inactive
